month,week,day,hour,DotW,WR
1,2,11,10,4,130
1,2,11,11,4,150
1,2,11,12,4,130
1,2,11,13,4,131
1,2,11,14,4,141
1,2,11,15,4,154
1,2,11,16,4,160
1,2,11,18,4,118
1,2,11,19,4,89
1,2,11,20,4,125
1,2,11,21,4,111
1,2,11,23,4,0
1,2,11,0,5,0
1,2,11,1,5,0
1,2,11,2,5,0
1,2,11,3,5,0
1,2,11,4,5,0
1,2,11,5,5,0
1,2,11,6,5,30
1,2,11,7,5,55
1,2,11,8,5,54
1,2,11,9,5,59
1,2,11,10,5,86
1,2,11,11,5,79
1,2,11,12,5,124
1,2,11,13,5,122
1,2,11,14,5,129
1,2,11,15,5,136
1,2,11,16,5,153
1,2,11,17,5,161
1,2,11,20,5,0
1,2,11,21,5,0
1,2,11,22,5,0
1,2,11,23,5,0
1,2,11,0,7,0
1,2,11,1,7,0
1,2,11,2,7,0
1,2,11,3,7,0
1,2,11,4,7,0
1,2,11,5,7,0
1,2,11,6,7,0
1,2,11,7,7,0
1,2,11,8,7,0
1,2,11,9,7,16
1,2,11,10,7,37
1,2,11,11,7,42
1,2,11,14,7,69
1,2,11,15,7,62
1,2,11,17,7,88
1,2,11,18,7,71
1,2,11,19,7,67
1,2,11,21,7,78
1,2,11,22,7,86
1,2,11,23,7,0
1,2,12,0,2,0
1,2,12,1,2,0
1,2,12,2,2,0
1,2,12,3,2,0
1,2,12,4,2,0
1,2,12,5,2,0
1,2,12,6,2,20
1,2,12,7,2,52
1,2,12,8,2,64
1,2,12,9,2,66
1,2,12,10,2,97
1,2,12,11,2,111
1,2,12,12,2,152
1,2,12,13,2,121
1,2,12,14,2,94
1,2,12,15,2,117
1,2,12,16,2,137
1,2,12,17,2,144
1,2,12,18,2,118
1,2,12,19,2,104
1,2,12,20,2,118
1,2,12,21,2,158
1,2,12,22,2,155
1,2,12,23,2,84
1,2,12,0,4,0
1,2,12,1,4,0
1,2,12,2,4,0
1,2,12,3,4,0
1,2,12,4,4,0
1,2,12,5,4,0
1,2,12,6,4,14
1,2,12,7,4,69
1,2,12,8,4,70
1,2,12,9,4,83
1,2,12,10,4,104
1,2,12,11,4,129
1,2,12,12,4,142
1,2,12,13,4,145
